,style,title,link,artist,time,price,address
0,民谣,布衣乐队《八宝茶》巡演 北京站,https://www.showstart.com/event/135486,,2021/10/15 20:30,¥110起,疆进酒·OMNI SPACE
1,民谣,WarmLive005「温柔的夜」秋日暖歌会,https://www.showstart.com/event/162300,刘润洁/滚儿（大滚）,2021/10/23 20:00,¥120起,山谷居民
2,摇滚,【北京乐迷厂牌呈现】「十全十美」全场酒水畅饮,https://www.showstart.com/event/161252,无线木偶(Wireless puppet)/玩具头乐队/KyoYoko/Since TMRW,2021/10/10 20:00,¥110起,北京 MAO Livehouse
4,摇滚,“艺术家与兵”主题专场演出--黑薄荷，丝绒公路，大象无形联袂呈现！,https://www.showstart.com/event/161652,丝绒公路/黑薄荷/大象无形乐队,2021/10/17 20:00,¥140起,北京 MAO Livehouse
5,摇滚,《笑傲江湖》左小祖咒巡演 北京站 10月18日,https://www.showstart.com/event/153604,左小祖咒,2021/10/18 20:30,¥180起,糖果LIVE三层
6,摇滚,《笑傲江湖》左小祖咒巡演 北京站 10月19日,https://www.showstart.com/event/153603,左小祖咒,2021/10/19 20:30,¥180起,糖果LIVE三层
7,摇滚,【我们是一家人】全场酒水无限畅饮,https://www.showstart.com/event/163528,无有乐队/苏菲花园/节奏旅行家,2021/10/20 20:00,¥70起,北京 MAO Livehouse
8,摇滚,【夜猫俱乐部-摇滚热浪】pylon+黄油球+DJ Circle | 全场酒水畅饮,https://www.showstart.com/event/164515,ButterBall黄油球/pylon/DJ Circle,2021/10/22 23:30,¥99起,北京 MAO Livehouse
9,摇滚,【百万厂牌呈现】「潜入银河的浪漫」全场酒水畅饮,https://www.showstart.com/event/162415,水母乐队/失浪潮（LostWave）/星号69/洗浴时间,2021/10/27 20:00,¥109起,北京 MAO Livehouse
10,摇滚,[全场畅饮] 万圣节魔仙堡「贞心实意」变装派对 北京站,https://www.showstart.com/event/163878,灵魂伴侣/空心电台 Null Radio/missmix组合,2021/10/31 21:00,¥180起,北京 MAO Livehouse
11,摇滚,[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对 北京站,https://www.showstart.com/event/163903,斑马森林乐队/旧礼物/麻兒豆,2021/11/01 21:00,¥120起,北京 MAO Livehouse
12,摇滚,【飞狗诚献】「再见乌托邦」全场酒水畅饮,https://www.showstart.com/event/162916,The Claptraps 小吵闹/十度燕京/瓦洛与琥珀虫,2021/11/03 20:30,¥90起,北京 MAO Livehouse
13,摇滚,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,https://www.showstart.com/event/162220,时光胶囊 TimeCapsule/结冰水/春日玫瑰(Spring Roses)/梯雲縱CloudJumpper,2021/11/06 14:30,¥129起,北京 MAO Livehouse
14,摇滚,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）,https://www.showstart.com/event/162226,时光胶囊 TimeCapsule/结冰水/春日玫瑰(Spring Roses)/梯云纵,2021/11/06 19:30,¥149起,北京 MAO Livehouse
15,流行,鹿洐人「你在开玩笑吗？」2021全国巡演 北京站,https://www.showstart.com/event/159423,鹿洐人,2021/10/14 20:30,¥80起,疆进酒·OMNI SPACE
16,流行,10月16日 北京麦田音乐节,https://www.showstart.com/event/161325,刺猬Hedgehog/反光镜乐队/Jacky Danny/Default 缺省/脆莓Brickleberry/房东的猫/郁可唯/动物园钉子户/太一/Fine乐团/余佳运/椅子乐团 The Chairs/白安/尹毓恪/徐炳超,2021/10/16 12:30,¥388起,温榆河公园朝阳示范区西园
17,流行,10月17日 北京麦田音乐节,https://www.showstart.com/event/161327,秘密行动乐队/孤独的利里_LonelyLeary/谢帝/白皮书/Dr.Paper国蛋/薛之谦/沉默演讲 SilentSpeech/花墙FancyWall/徐秉龙/丹镇北京Dungeon Beijing/泥鳅Zinco/艾瑞欧ERIOE/某幻君/JoZ张哲瑜/K.ila,2021/10/17 12:30,¥388起,温榆河公园朝阳示范区西园
18,流行,「别忘了 Don’t Forget」尚士达 2021 LIVE TOUR 北京站,https://www.showstart.com/event/160604,尚士达,2021/10/22 20:00,¥180,糖果LIVE三层
20,流行,刘莱斯【和你一起才能看见的风景】2021巡演 北京站,https://www.showstart.com/event/160312,刘莱斯,2021/10/29 20:00,¥100起,北京 MAO Livehouse
21,流行,【北京糖果站】2021万圣节“魔女惊魂”变装惊悚派对 —奇幻变身，重获新生！,https://www.showstart.com/event/162040,夜管家乐队,2021/10/31 19:00,¥180起,糖果LIVE三层
22,电子,►全场畅饮 夜猫歌舞厅 音乐交流分享 劲歌热舞派对,https://www.showstart.com/event/163374,DJ Circle,2021/10/09 23:30,¥99起,北京 MAO Livehouse
23,电子,「港台怀旧夜」夜猫俱乐部,https://www.showstart.com/event/163375,DJ Circle,2021/10/15 23:30,¥99起,北京 MAO Livehouse
